id,version,processing_date,url,name,registration_number,domain,website,website_status,number_of_about_pages,number_of_contact_pages,number_of_management_pages,number_of_product_pages,year_founded,incorporation_date,number_of_registered_officers,number_of_key_persons,number_of_partners,number_of_clients,number_of_emails,number_of_ip_addresses,total_changes,address_changes,alias_changes,assoc_investor_changes,ch_changes,client_changes,description_changes,email_changes,fax_changes,founded_year_changes,investor_changes,ip_address_changes,linked_domain_changes,name_changes,page_content_changes,page_structure_changes,partner_changes,person_changes,phone_changes,primary_contact_changes,registration_number_changes,robots_changes,ticker_changes,vat_changes,web_status_changes
5729558,10,2013-10-19,http://endb-consolidated.aihit.com/00576D160000000A/overview.htm,"Burlington Fireplace","",burlingtonfireplace.com,"www.burlingtonfireplace.com","OK",1,1,0,0,-1,,-1,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,2,1,0,4,3,0,0,0,0,0,4,0,0,2
1828534,19,2013-10-19,http://endb-consolidated.aihit.com/001BE6B600000013/overview.htm,"DOUGLAS WILLIAMSON (NE) LIMITED","06580886",,"","",0,0,0,0,-1,2008-04-30,2,2,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7223416,10,2013-10-19,http://endb-consolidated.aihit.com/006E38780000000A/overview.htm,"JeepSkins","",jeepskins.com,"www.jeepskins.com","OK",1,1,0,1,-1,,-1,0,0,0,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,1,0,0,2
13043012,4,2013-10-19,http://endb-consolidated.aihit.com/00C7054400000004/overview.htm,"Business IT Network Support Orange County","",businessitnetworksupportorangecounty.com,"www.businessitnetworksupportorangecounty.com","OK",1,1,0,0,-1,,-1,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
9756221,9,2013-10-19,http://endb-consolidated.aihit.com/0094DE3D00000009/overview.htm,"Austin Real Pros","",austinrealpros.com,"www.austinrealpros.com","OK",0,1,1,0,-1,,-1,0,0,0,2,1,28,6,0,0,0,0,0,0,0,0,0,2,0,0,17,2,0,0,0,0,0,1,0,0,0
15072071,1,2013-10-19,http://endb-consolidated.aihit.com/00E5FB4700000001/overview.htm,"Tanzanite","",tanzanite-int.com,"www.tanzanite-int.com","OK",1,1,0,0,-1,,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3809523,15,2013-10-19,http://endb-consolidated.aihit.com/003A20F30000000F/overview.htm,"Edinburgh Flats","",edinburgh-flats.com,"www.edinburgh-flats.com","OK",1,1,0,0,2007,,-1,0,0,0,2,1,121,46,1,0,0,0,0,2,0,0,0,0,0,0,58,7,0,0,0,6,0,1,0,0,0
10746727,9,2013-10-19,http://endb-consolidated.aihit.com/00A3FB6700000009/overview.htm,"Precisions Controls","",precisionscontrols.com,"www.precisionscontrols.com","OK",1,1,0,0,-1,,-1,2,0,0,5,1,15,0,2,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,1,0,0,0
1730705,19,2013-10-19,http://endb-consolidated.aihit.com/001A689100000013/overview.htm,"GO DINE LIMITED","06368229",,"","",0,0,0,0,-1,2007-09-12,1,1,0,0,0,0,41,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3975972,15,2013-10-19,http://endb-consolidated.aihit.com/003CAB240000000F/overview.htm,"Morganrandallfinancial","",morganrandallfinancial.com,"","DomainNotFound",0,0,0,0,-1,,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2070707,19,2013-10-19,http://endb-consolidated.aihit.com/001F98B300000013/overview.htm,"TBG (3) 2009 LIMITED","07043083",,"","",0,0,0,0,-1,2009-10-14,4,4,0,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12047926,7,2013-10-19,http://endb-consolidated.aihit.com/00B7D63600000007/overview.htm,"shaneh","",shaneh.org,"www.shaneh.org","OK",1,1,0,0,-1,,-1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
2444878,19,2013-10-19,http://endb-consolidated.aihit.com/00254E4E00000013/overview.htm,"FIELD & RUMENS CONSULTANCY LIMITED","07559132",,"","",0,0,0,0,-1,2011-03-10,3,3,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
13628640,3,2013-10-19,http://endb-consolidated.aihit.com/00CFF4E000000003/overview.htm,"CRESCENT MANAGEMENT SCOTLAND LTD","SC455063",,"","",0,0,0,0,-1,2013-07-22,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11722104,8,2013-10-19,http://endb-consolidated.aihit.com/00B2DD7800000008/overview.htm,"SHAFTSBURY HOUSE INTERIORS LIMITED","08509998",,"","",0,0,0,0,-1,2013-04-30,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309647,16,2013-10-19,http://endb-consolidated.aihit.com/0004B98F00000010/overview.htm,"Landscaping Gardeners","",landscapinggardeners.co.uk,"","DomainNotFound",1,0,0,0,-1,,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
