company_id,tag
3696816,"car parts"
8562247,"asset management"
12191078,"video production"
8033807,"information technology"
11320784,"Estate"
4362300,"internet"
147073,"fostering"
8935867,"travel"
5711776,"solar"
5764723,"fitness and sports training"
7101924,"salary processing"
13200508,"communications"
12797950,"security"
9751369,"plumbing"
367507,"meeting management"
7602503,"Landscape Design, Installation & Maintenance"
10932537,"service"
8113852,"estate development, surveying and valuation"
4612743,"dog food"
9404468,"consulting engineering"
11829149,"arts"
4008346,"marketing recruitment"
9852899,"building"
4264177,"web hosting"
4920798,"surgical instruments"
8391552,"consulting and management recruiting"
7029339,"detective"
9056585,"branding"
6556349,"travel"
9473111,"engineering"
7260310,"service"
3282112,"clothing"
7753778,"recruiting"
11565387,"chemical engineering software"
64156,"IT consultancy"
12733179,"fitness and healthcare"
6227569,"wholesale distribution"
4875985,"print and communications management"
6452700,"distribution"
13503482,"computer"
9105990,"construction"
10038480,"engineering and consulting"
7612310,"medical consulting"
6429372,"glass finishing, glass work and home renovations"
7804443,"non-profit"
7627217,"Law"
13495869,"letting"
11975003,"moving"
11432100,"service"
10257262,"property development and management"
12759002,"IT services and solutions"
8958186,"Telecommunications and IT staffing"
10426437,"lifestyle marketing"
3692729,"property design"
7248197,"Hardware"
3499144,"service"
13807143,"software development"
10623628,"technology risk consulting"
13992245,"Group Training"
5756166,"Calig Law"
7446084,"locksmith"
13196610,"design and printing"
13196610,"environmental"
7999315,"graphic design"
13134303,"digital marketing"
4159834,"web design and IT solutions"
7737240,"Estate Development and Property Management"
13919177,"Construction welding"
14817923,"wireless networking"
8893017,"installation, design and consulting"
8893017,"lighting"
7921019,"advertising and marketing solutions"
3436756,"publishing"
10149671,"yard maintenance"
12210937,"health care benefits solutions'"
12210937,"insurance brokerage"
6361790,"Theater"
7606436,"internet"
7309475,"computer systems engineering"
6654013,"investment advisory"
6654013,"offshore"
5492423,"interior design"
6249111,"service"
3982130,"IT"
9058111,"communication design"
97800,"web development"
9112979,"stair"
9827124,"law"
12711161,"mechanism industry"
12636035,"estate brokerage"
11816051,"construction"
8504006,"for solution"
12038293,"design"
5116508,"Placement"
5543866,"beekeeping"
4410798,"Contract Hire Vehicle"
4433263,"software"
6494804,"search"
13217972,"property development"
12777470,"capital investment services"
12777470,"estate investment"
4928840,"Nursing"
10176881,"affairs"
4528443,"e-business Solutions"
4528443,"software"
13702113,"commercial"
13702113,"financial"
