company_id,type,country,authority,registration_number
1919962,"CompanyRegistrationNumber","United Kingdom","Companies House","06770822"
1028829,"CompanyRegistrationNumber","United Kingdom","Companies House","04253106"
3620037,"CompanyRegistrationNumber","United Kingdom","Companies House","01832829"
3377035,"CompanyRegistrationNumber","United Kingdom","Companies House","05600776"
1314930,"CompanyRegistrationNumber","United Kingdom","Companies House","05163768"
4496763,"CompanyRegistrationNumber","United Kingdom","Companies House","03409903"
863686,"CompanyRegistrationNumber","United Kingdom","Companies House","03541898"
4552018,"CompanyRegistrationNumber","United Kingdom","Companies House","08201645"
12160062,"CompanyRegistrationNumber","United Kingdom","Companies House","08550937"
4563995,"CompanyRegistrationNumber","United Kingdom","Companies House","08214080"
3183866,"CompanyRegistrationNumber","United Kingdom","Companies House","SC397955"
2405915,"CompanyRegistrationNumber","United Kingdom","Companies House","07515543"
13572239,"CompanyRegistrationNumber","United Kingdom","Companies House","08619259"
2051506,"CompanyRegistrationNumber","United Kingdom","Companies House","07009010"
13496336,"CompanyRegistrationNumber","United Kingdom","Companies House","OC386304"
2058781,"CompanyRegistrationNumber","United Kingdom","Companies House","07022145"
2729965,"CompanyRegistrationNumber","United Kingdom","Companies House","07870257"
113943,"CompanyRegistrationNumber","United Kingdom","Companies House","06640121"
4218892,"CompanyRegistrationNumber","United Kingdom","Companies House","08125198"
3360195,"CompanyRegistrationNumber","United Kingdom","Companies House","07338680"
4460013,"CompanyRegistrationNumber","United Kingdom","Companies House","08182599"
4334950,"CompanyRegistrationNumber","United Kingdom","Companies House","SC428293"
1517749,"CompanyRegistrationNumber","United Kingdom","Companies House","05792093"
3304290,"CompanyRegistrationNumber","United Kingdom","Companies House","06840513"
3022930,"CompanyRegistrationNumber","United Kingdom","Companies House","OC323491"
1414642,"CompanyRegistrationNumber","United Kingdom","Companies House","05478677"
1747223,"CompanyRegistrationNumber","United Kingdom","Companies House","06406769"
781402,"CompanyRegistrationNumber","United Kingdom","Companies House","03126897"
3149731,"CompanyRegistrationNumber","United Kingdom","Companies House","SC348495"
2364483,"CompanyRegistrationNumber","United Kingdom","Companies House","07467942"
4837300,"CompanyRegistrationNumber","","","1118143"
4837300,"CompanyRegistrationNumber","United Kingdom","Companies House","05800420"
977285,"CompanyRegistrationNumber","United Kingdom","Companies House","04055827"
2131451,"CompanyRegistrationNumber","United Kingdom","Companies House","07142122"
894905,"CompanyRegistrationNumber","United Kingdom","Companies House","03696737"
683014,"CompanyRegistrationNumber","United Kingdom","Companies House","02550571"
13626160,"CompanyRegistrationNumber","United Kingdom","Companies House","SC452513"
3349379,"CompanyRegistrationNumber","United Kingdom","Companies House","07315608"
11270403,"CompanyRegistrationNumber","United Kingdom","Companies House","04766674"
2109770,"CompanyRegistrationNumber","United Kingdom","Companies House","07107441"
2842119,"CompanyRegistrationNumber","United Kingdom","Companies House","07988997"
12962985,"CompanyRegistrationNumber","United Kingdom","Companies House","04716896"
1421239,"CompanyRegistrationNumber","United Kingdom","Companies House","05498678"
